min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.2,2,6,3,2725,3,10,15
0.2,2,7,0,17,1,2,12
0.2,2,7,1,31,2,5,12
0.2,2,7,2,57,2,5,12
0.2,2,7,3,63,2,5,12
0.2,2,8,0,13,1,2,12
0.2,2,8,1,20,2,4,12
0.2,2,8,2,39,2,4,12
0.2,2,8,3,42,2,4,12
0.2,2,9,0,4,0,0,0
0.2,2,9,1,12,2,4,12
0.2,2,9,2,18,2,4,12
0.2,2,9,3,21,2,4,12
0.2,2,10,0,0,0,0,0
0.2,2,10,1,1,0,0,0
0.2,2,10,2,1,0,0,0
0.2,2,10,3,1,0,0,0
0.2,3,5,0,199,4,8,15
0.2,3,5,1,1514,4,10,15
0.2,3,5,2,3000,0,2,15
0.2,3,5,3,3000,0,1,12
0.2,3,6,0,42,4,5,15
0.2,3,6,1,555,4,6,15
0.2,3,6,2,3000,1,3,15
0.2,3,6,3,3000,0,1,12
0.2,3,7,0,6,4,5,15
0.2,3,7,1,407,4,6,15
0.2,3,7,2,3000,4,6,15
0.2,3,7,3,3000,3,5,15
0.2,3,8,0,6,4,5,15
0.2,3,8,1,49,4,6,15
0.2,3,8,2,524,4,6,15
0.2,3,8,3,1212,4,6,15
0.2,3,9,0,6,4,5,15
0.2,3,9,1,20,4,6,15
0.2,3,9,2,135,4,6,15
0.2,3,9,3,315,4,6,15
0.2,3,10,0,3,3,3,15
0.2,3,10,1,9,3,3,15
0.2,3,10,2,72,3,3,15
0.2,3,10,3,193,3,3,15
0.2,4,5,0,1423,4,8,15
0.2,4,5,1,2658,4,10,15
0.2,4,5,2,3000,0,2,15
0.2,4,5,3,3000,0,1,12
0.2,4,6,0,1266,4,5,15
0.2,4,6,1,1699,4,6,15
0.2,4,6,2,3000,1,3,15
0.2,4,6,3,3000,0,1,12
0.2,4,7,0,392,4,5,15
0.2,4,7,1,872,4,6,15
0.2,4,7,2,3000,3,5,15
0.2,4,7,3,3000,2,4,15
0.2,4,8,0,11,4,5,15
0.2,4,8,1,111,4,6,15
0.2,4,8,2,638,4,6,15
0.2,4,8,3,1373,4,6,15
0.2,4,9,0,6,4,5,15
0.2,4,9,1,20,4,6,15
0.2,4,9,2,141,4,6,15
0.2,4,9,3,327,4,6,15
0.2,4,10,0,3,3,3,15
0.2,4,10,1,9,3,3,15
0.2,4,10,2,72,3,3,15
0.2,4,10,3,196,3,3,15
0.2,5,5,0,1671,3,6,12
0.2,5,5,1,3000,2,5,12
0.2,5,5,2,3000,0,1,12
0.2,5,5,3,3000,0,1,12
0.2,5,6,0,1237,2,2,12
0.2,5,6,1,1237,2,2,12
0.2,5,6,2,3000,2,3,15
0.2,5,6,3,3000,0,1,3
0.2,5,7,0,179,2,2,12
0.2,5,7,1,206,2,2,12
0.2,5,7,2,1128,2,2,12
0.2,5,7,3,3000,2,2,12
0.2,5,8,0,8,1,1,12
0.2,5,8,1,16,2,2,12
0.2,5,8,2,91,2,2,12
0.2,5,8,3,423,2,2,12
0.2,5,9,0,2,1,1,12
0.2,5,9,1,10,2,2,12
0.2,5,9,2,51,2,2,12
0.2,5,9,3,150,2,2,12
0.2,5,10,0,1,0,0,0
0.2,5,10,1,5,2,2,12
0.2,5,10,2,20,2,2,12
0.2,5,10,3,70,2,2,12
0.3,1,5,0,245,3,6,12
0.3,1,5,1,3000,2,4,12
0.3,1,5,2,3000,0,2,15
0.3,1,5,3,3000,0,2,15
0.3,1,6,0,169,3,6,12
0.3,1,6,1,642,3,6,12
0.3,1,6,2,1823,3,7,15
0.3,1,6,3,2635,3,8,15
0.3,1,7,0,35,3,6,12
0.3,1,7,1,118,3,6,12
0.3,1,7,2,1078,3,7,15
0.3,1,7,3,1627,3,7,15
0.3,1,8,0,24,2,3,12
0.3,1,8,1,77,2,3,12
0.3,1,8,2,732,2,4,15
0.3,1,8,3,1121,2,4,15
0.3,1,9,0,21,2,3,12
0.3,1,9,1,68,2,3,12
0.3,1,9,2,630,2,4,15
0.3,1,9,3,971,2,4,15
0.3,1,10,0,1,0,0,0
0.3,1,10,1,12,2,3,12
0.3,1,10,2,161,2,3,12
0.3,1,10,3,378,2,3,12
0.3,2,5,0,3000,1,5,15
0.3,2,5,1,3000,0,1,12
0.3,2,5,2,3000,0,1,12
0.3,2,5,3,3000,0,0,0
0.3,2,6,0,908,4,6,15
0.3,2,6,1,1885,4,6,15
0.3,2,6,2,3000,0,1,3
0.3,2,6,3,3000,0,1,3
0.3,2,7,0,182,2,2,12
0.3,2,7,1,1009,3,3,12
0.3,2,7,2,3000,3,3,12
0.3,2,7,3,3000,1,1,12
0.3,2,8,0,61,1,1,12
0.3,2,8,1,448,2,2,12
0.3,2,8,2,1575,2,2,12
0.3,2,8,3,2202,2,2,12
0.3,2,9,0,18,0,0,0
0.3,2,9,1,233,1,1,12
0.3,2,9,2,1356,2,2,12
0.3,2,9,3,1959,2,2,12
0.3,2,10,0,0,0,0,0
0.3,2,10,1,21,1,1,12
0.3,2,10,2,251,1,1,12
0.3,2,10,3,663,1,1,12
0.3,3,5,0,3000,3,4,15
0.3,3,5,1,3000,0,0,0
0.3,3,5,2,3000,0,0,0
0.3,3,5,3,3000,0,0,0
0.3,3,6,0,611,4,6,15
0.3,3,6,1,3000,0,1,3
0.3,3,6,2,3000,0,1,3
0.3,3,6,3,3000,0,0,0
0.3,3,7,0,136,3,4,12
0.3,3,7,1,883,3,4,12
0.3,3,7,2,3000,1,2,12
0.3,3,7,3,3000,0,0,0
0.3,3,8,0,81,3,4,12
0.3,3,8,1,825,3,4,12
0.3,3,8,2,3000,1,2,12
0.3,3,8,3,3000,0,0,0
0.3,3,9,0,38,2,2,12
0.3,3,9,1,709,3,4,12
0.3,3,9,2,2552,3,4,12
0.3,3,9,3,3000,2,3,12
0.3,3,10,0,8,2,2,12
0.3,3,10,1,68,3,4,12
0.3,3,10,2,398,3,4,12
0.3,3,10,3,593,3,4,12
0.3,4,5,0,3000,4,6,15
0.3,4,5,1,3000,0,1,12
0.3,4,5,2,3000,0,0,0
0.3,4,5,3,3000,0,0,0
0.3,4,6,0,1455,4,5,15
0.3,4,6,1,3000,0,2,12
0.3,4,6,2,3000,0,1,12
0.3,4,6,3,3000,0,0,0
0.3,4,7,0,231,4,4,15
0.3,4,7,1,2953,5,6,15
0.3,4,7,2,3000,1,2,15
0.3,4,7,3,3000,0,0,0
0.3,4,8,0,37,4,4,15
0.3,4,8,1,485,5,6,15
0.3,4,8,2,3000,4,5,15
0.3,4,8,3,3000,2,2,15
0.3,4,9,0,19,4,4,15
0.3,4,9,1,204,4,4,15
0.3,4,9,2,833,4,4,15
0.3,4,9,3,1713,4,4,15
0.3,4,10,0,7,4,4,15
0.3,4,10,1,28,4,4,15
0.3,4,10,2,180,4,4,15
0.3,4,10,3,349,4,4,15
0.3,5,5,0,3000,0,1,12
0.3,5,5,1,3000,0,1,12
0.3,5,5,2,3000,0,0,0
0.3,5,5,3,3000,0,0,0
0.3,5,6,0,1655,4,7,12
0.3,5,6,1,3000,0,1,12
